Seq,Subject ID,Action,Share,PathRoot,PathMid,PathTail,fileName,fileType,Bytes,Start Hr,Start Min,Start Sec,Finish Hr,Finish Min,Finish Sec
8,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,12231,7,12,40.038,7,12,40.268
11,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,13528,8,42,3.245,8,42,4.611
55,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,8035,10,10,55.186,10,10,55.327
10,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,25,30.933,7,25,31.087
21,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,11423,7,26,39.948,7,26,40.729
33,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,27,54.496,7,27,54.649
44,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,28,54.819,7,28,54.971
56,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,29,52.628,7,29,52.783
67,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9426,7,30,42.363,7,30,42.518
77,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,31,27.601,7,31,27.757
8,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,12231,7,12,40.038,7,12,40.268
20,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,11619,7,14,56.506,7,14,57.702
30,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,16,35.662,7,16,35.813
40,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,12319,7,18,7.55,7,18,9.676
51,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,11423,7,19,29.709,7,19,30.64
61,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,20,42.919,7,20,43.073
71,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,22,25.382,7,22,25.535
81,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,11871,7,23,19.915,7,23,21.581
48,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9360,15,16,25.595,15,16,25.763
